Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
164.2758226162653,165.22027075602358,162.7208406703428,165.01992797851562,5488900,0.0,0.0,PEP
164.7146146437351,166.42223683814458,164.27577630827182,165.2583770751953,4717600,0.0,0.0,PEP
165.38243537293445,167.29040070277605,165.2584129683763,165.82127380371094,6564600,0.0,0.0,PEP
165.90712281923206,167.51935579437446,165.25840706083324,165.8594207763672,4288700,0.0,0.0,PEP
166.078824746601,166.65122012030903,164.6669345965052,166.0692901611328,4916000,0.0,0.0,PEP
166.41273075073332,167.74830059760134,165.63045801426807,166.1551513671875,5055900,0.0,0.0,PEP
165.68770576858807,166.21239915674124,163.72250376625124,166.07884216308594,6452300,0.0,0.0,PEP
165.8975830078125,166.30780313158007,164.99130236888396,165.8975830078125,5268000,0.0,0.0,PEP
165.7163296647116,166.65122856965712,165.26795666245187,166.16468811035156,4310300,0.0,0.0,PEP
166.53675652020073,167.84370807941778,165.420584021118,167.55751037597656,4474500,0.0,0.0,PEP
165.63043835110554,166.71797782776557,165.1820654078966,165.95480346679688,5789500,0.0,0.0,PEP
165.95481487406678,167.86278002087244,165.58276225270444,167.1472930908203,6424500,0.0,0.0,PEP
167.33808551804398,168.7404410556192,165.8403259011515,165.93572998046875,6284200,0.0,0.0,PEP
167.26177161391797,169.08388188014223,166.09791167314995,166.20285034179688,6753200,0.0,0.0,PEP
167.41442689724684,168.3779441702456,161.18492111882068,165.35382080078125,9263900,0.0,0.0,PEP
164.1613357001923,164.54292293647828,161.9290197990173,163.45538330078125,6536900,0.0,0.0,PEP
161.56649291848774,163.90374736559414,158.79040007264115,161.72866821289062,6841800,0.0,0.0,PEP
162.9211535574518,165.3061101495876,161.01318828374315,161.57603454589844,6543500,0.0,0.0,PEP
160.7555959273693,164.78140349465184,159.51543024480193,164.7241668701172,5796000,0.0,0.0,PEP
162.91161254933522,166.097910937233,162.7398881120287,165.53506469726562,5908000,0.0,0.0,PEP
165.18207106291635,165.4491850097236,161.75727723615145,164.4093475341797,5952700,0.0,0.0,PEP
164.81002550676823,167.5574999990597,164.62878104387923,167.39532470703125,5767000,0.0,0.0,PEP
167.20453723015683,168.5305724845126,165.83079993366349,167.2999267578125,4632700,0.0,0.0,PEP
165.134404982968,166.84202754684173,163.31229460089725,164.55247497558594,4592400,0.0,0.0,PEP
164.79097428407357,165.0294699553768,163.33138194022735,163.9037628173828,4813300,0.0,0.0,PEP
164.68602544331702,164.69556002919734,162.47277876302908,164.10409545898438,3957700,0.0,0.0,PEP
164.56201423289843,164.82912822190625,163.14057478261924,164.0277862548828,6780200,0.0,0.0,PEP
160.89871817552233,163.5603233795422,159.60130118173475,160.62205505371094,7899800,0.0,0.0,PEP
160.3263126698018,162.4727735096652,159.97334376758687,160.8223876953125,7299600,0.0,0.0,PEP
161.6237340423711,161.8717642836619,157.50253668554015,159.02890014648438,6822500,0.0,0.0,PEP
159.5249804319404,160.50758140020255,157.6551680267637,158.32296752929688,4943800,0.0,0.0,PEP
158.00814175819772,159.50588686186524,156.96828966733952,158.64730834960938,4161700,0.0,0.0,PEP
158.37063156310302,160.22135996528255,157.4071144664484,159.0765838623047,5156800,0.0,0.0,PEP
159.42003624585013,160.49804126480765,158.57099229612643,159.992431640625,5181600,0.0,0.0,PEP
160.81287418922116,161.16584313770358,158.58054356011698,160.60299682617188,7733900,0.0,0.0,PEP
161.33753415572218,161.33753415572218,158.85718810660498,159.0193634033203,5812800,0.0,0.0,PEP
158.08446706552814,158.68546622028964,152.91386843239385,156.2528076171875,8888800,0.0,0.0,PEP
156.85382926760417,160.70792741625945,156.7011885464134,160.63160705566406,6535600,0.0,0.0,PEP
156.49129176350203,157.6074641615795,153.98232754481825,156.20510864257812,7677000,0.0,0.0,PEP
155.5659539051739,156.834737988713,153.87740058025645,154.80276489257812,5107900,0.0,0.0,PEP
155.48009253531697,158.18941439952488,155.01265034008347,156.94923400878906,5452100,0.0,0.0,PEP
157.45335071508399,158.6248654961179,156.3298517173436,156.7811737060547,5352200,1.075,0.0,PEP
155.56164882193863,159.88280573365915,154.52456940484245,159.16261291503906,6340300,0.0,0.0,PEP
157.54940099384658,158.58646584388714,155.6864997387368,155.9937744140625,6319500,0.0,0.0,PEP
155.92656389019146,157.45336927330618,151.42295542033796,151.59579467773438,6163700,0.0,0.0,PEP
153.45867798068312,153.6987422450049,150.18419789876754,151.1444549560547,5764900,0.0,0.0,PEP
149.59843629823249,150.0401609791934,147.27461604326987,148.3693084716797,6103700,0.0,0.0,PEP
149.27195888751652,150.654731415348,147.38025128379707,147.6203155517578,4762600,0.0,0.0,PEP
148.98387776370015,151.52856777719356,148.3597165324365,149.69447326660156,6075600,0.0,0.0,PEP
151.06765280351183,153.16100623172784,150.59712155340475,152.68087768554688,6203400,0.0,0.0,PEP
152.11434776937782,153.6315559156383,150.7987854313864,153.3530731201172,6299000,0.0,0.0,PEP
153.4779066698803,155.20637252246283,152.96897153722566,154.54379272460938,3587600,0.0,0.0,PEP
154.9662849231437,156.45467160479618,153.69873860441567,156.3202362060547,12123000,0.0,0.0,PEP
155.8209276329982,157.29971715709837,154.66862201453094,156.09939575195312,5122600,0.0,0.0,PEP
156.36826907594008,158.22157297435933,155.7825116347644,157.80865478515625,5779200,0.0,0.0,PEP
157.72223596614654,158.7112996526799,156.16662408098946,156.9828338623047,4533700,0.0,0.0,PEP
157.53977800959058,158.18314851046347,156.7811813450869,157.93348693847656,3160300,0.0,0.0,PEP
